train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:  37% 58/156 [00:36<00:50,  1.93it/s, acc=0.2173, loss=5.2128]
train E000:  38% 59/156 [00:36<00:49,  1.94it/s, acc=0.2173, loss=5.2128.

train E000:  38% 59/156 [00:37<00:49,  1.94it/s, acc=0.2197, loss=5.1956]
train E000:  38% 60/156 [00:37<00:50,  1.91it/s, acc=0.2197, loss=5.1956.

train E000:  38% 60/156 [00:37<00:50,  1.91it/s, acc=0.2219, loss=5.1799]
train E000:  39% 61/156 [00:37<00:49,  1.90it/s, acc=0.2219, loss=5.1799.

train E000:  39% 61/156 [00:38<00:49,  1.90it/s, acc=0.2248, loss=5.1640]
train E000:  40% 62/156 [00:38<00:49,  1.90it/s, acc=0.2248, loss=5.1640.

train E000:  40% 62/156 [00:38<00:49,  1.90it/s, acc=0.2279, loss=5.1464]
train E000:  40% 63/156 [00:38<00:48,  1.90it/s, acc=0.2279, loss=5.1464.

train E000:  40% 63/156 [00:39<00:48,  1.90it/s, acc=0.2305, loss=5.1317]
train E000:  41% 64/156 [00:39<00:47,  1.92it/s, acc=0.2305, loss=5.1317.

train E000:  41% 64/156 [00:39<00:47,  1.92it/s, acc=0.2333, loss=5.1155]
train E000:  42% 65/156 [00:39<00:47,  1.91it/s, acc=0.2333, loss=5.1155.

train E000:  42% 65/156 [00:40<00:47,  1.91it/s, acc=0.2352, loss=5.1056]
train E000:  42% 66/156 [00:40<00:46,  1.93it/s, acc=0.2352, loss=5.1056.

train E000:  42% 66/156 [00:40<00:46,  1.93it/s, acc=0.2375, loss=5.0915]
train E000:  43% 67/156 [00:40<00:45,  1.95it/s, acc=0.2375, loss=5.0915.

train E000:  43% 67/156 [00:41<00:45,  1.95it/s, acc=0.2403, loss=5.0739]
train E000:  44% 68/156 [00:41<00:45,  1.93it/s, acc=0.2403, loss=5.0739.

train E000:  44% 68/156 [00:42<00:45,  1.93it/s, acc=0.2423, loss=5.0600]
train E000:  44% 69/156 [00:42<00:45,  1.92it/s, acc=0.2423, loss=5.0600.

